ID,Season,Phylum,Class,Order,Family,Genus,TrophicSpecies,FunctionalGroup,TrophicGroup,InIntList,Abundance (ind/m3),Biomass (mg C/m3),BodyMass (g),BodySize (mm),GowthRate (mm/day),Zone,Reference_pres,Reference_pres_link,Reference_traits,Reference_traits_link,Observation
74,Autumn,Mollusca,Bivalvia,Limida,Limopsidae,Limopsis,Limopsis_sp,Bivalvia,Benthos,Yes,NA,NA,1.1,15.3,NA,Ta/Me,Schejter_etal_2016,,,,Taken from Limopsis_hirtella
75,All,Mollusca,Bivalvia,Pectinida,Cyclochlamydidae,Cyclochlamys,Cyclochlamys_argentina,Bivalvia,Benthos,No,NA,NA,NA,3.5,NA,Ta/Me,Pastorino&Griffin_2018,,,,
76,NA,NA,NA,NA,NA,NA,Bivalvia,Bivalvia,NA,Artefact,NA,NA,NA,NA,NA,Ta/Me,NA,,,,NA
77,Autumn,Mollusca,Bivalvia,Carditida,Astartidae,Astarte,Astarte_sp,Bivalvia,Benthos,Yes,NA,NA,NA,NA,NA,Talud,Schejter_etal_2016,,,,
78,Autumn,Mollusca,Bivalvia,Venerida,Neoleptonidae,Neolepton,Neolepton_sp,Bivalvia,Benthos,Yes,NA,NA,0.06,4,NA,Talud,Schejter_etal_2016,,,,Taken from Neolepton_cobbi
79,All,Brachiopoda,Rhynchonellata,Terebratulida,Terebratellidae,Magellania,Magellania_venosa,Brachiopoda,Benthos,Yes,NA,NA,NA,20,NA,Meseta,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,Gordillo_etal_2019,https://doi.org/10.1007/s12526-019-00935-1,
80,Autumn,Brachiopoda,Rhynchonellata,Terebratulida,Terebratullidae,Liothyrella,Liothyrella_uva,Brachiopoda,Benthos,Yes,NA,NA,1,15,NA,Ta/Me,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,McClintock_etal_1993; Gordillo_etal_2019,https://doi.org/10.1007/s12526-019-00935-1; https://doi.org/10.1016/0022-0981(93)90046-Q,Wet weight (body mass): fig 1 in McClintock_etal_1993
81,Autumn,Brachiopoda,Rhynchonellata,Terebratulida,Terebratellidae,Terebratella,Terebratella_dorsata,Brachiopoda,Benthos,Yes,NA,NA,NA,20,NA,Ta/Me,Schejter_etal_2016,https://doi.org/10.1007/s00300-016-1913-2,Gordillo_etal_2019,https://doi.org/10.1007/s12526-019-00935-1,
82,NA,Bryozoa,Gymnolaemata,Cheilostomatida,Aspidostomatidae,Aspidostoma,Aspidostoma_giganteum,Bryozoa,Benthos,Yes,NA,NA,NA,NA,NA,Meseta,Pérez_etal_2017,,,,
83,Autumn,Bryozoa,Gymnolaemata,Cheilostomatida,Pacificincolidae,Burdwoodipora,Burdwoodipora_paguricola,Bryozoa,Benthos,Yes,NA,NA,NA,0.45,NA,Meseta,Lopez-Gappa_etal_2017,,,,
84,NA,NA,NA,NA,NA,NA,Bryozoa,Bryozoa,NA,Artefact,NA,NA,NA,NA,NA,Ta/Me,NA,,,,NA
85,NA,Mollusca,Cephalopoda,Octopodida,Octopodidae,Enteroctopus,Enteroctopus_megalocyathus,Cephalopoda,Octopus,Yes,NA,NA,5000,225,NA,Meseta,Re_1998,https://aquadocs.org/bitstream/handle/1834/2583/Re_T2_69-98.pdf?sequence=1&isAllowed=y,Re_1998,https://aquadocs.org/bitstream/handle/1834/2583/Re_T2_69-98.pdf?sequence=1&isAllowed=y,
86,Autumn,Mollusca,Cephalopoda,Myopsida,Loliginidae,Doryteuthis,Doryteuthis_gahi,Cephalopoda,Squid,Yes,NA,NA,29-367,70-370,NA,Ta/Me,Riccialdelli_pers.com.,https://obis.org/taxon/410351,Rosas-Luis_etal_2014,https://doi.org/10.1016/j.fishres.2013.11.004,
